age,sex,smoking,coverage,payment
36,F,Y,1000000,80.95
37,M,N,100000,15.00
37,M,N,150000,15.13
37,M,N,200000,17.56
37,M,N,250000,21.21
37,M,N,300000,23.34
37,M,N,350000,27.29
37,M,N,400000,30.33
37,M,N,500000,33.38
37,M,N,600000,38.85
37,M,N,700000,44.33
37,M,N,800000,49.80
37,M,N,1000000,57.71
37,M,Y,100000,18.46
37,M,Y,150000,27.31
37,M,Y,200000,33.34
37,M,Y,250000,41.18
37,M,Y,300000,44.19
37,M,Y,350000,51.49
37,M,Y,400000,57.99
37,M,Y,500000,69.65
37,M,Y,600000,75.14
37,M,Y,700000,86.67
37,M,Y,800000,98.19
37,M,Y,1000000,119.90
37,F,N,100000,15.00
37,F,N,150000,15.00
37,F,N,200000,15.10
37,F,N,250000,17.38
37,F,N,300000,18.97
37,F,N,350000,21.61
37,F,N,400000,24.20
37,F,N,500000,26.48
37,F,N,600000,30.57
37,F,N,700000,34.67
37,F,N,800000,38.76
37,F,N,1000000,45.59
37,F,Y,100000,15.00
37,F,Y,150000,19.06
37,F,Y,200000,23.77
37,F,Y,250000,28.65
37,F,Y,300000,32.12
37,F,Y,350000,37.09
37,F,Y,400000,42.60
37,F,Y,500000,48.20
37,F,Y,600000,53.97
37,F,Y,700000,61.97
37,F,Y,800000,69.96
37,F,Y,1000000,84.17
38,M,N,100000,15.00
38,M,N,150000,15.61
38,M,N,200000,18.18
38,M,N,250000,22.02
38,M,N,300000,24.26
38,M,N,350000,28.43
38,M,N,400000,31.63
38,M,N,500000,34.84
38,M,N,600000,40.61
38,M,N,700000,46.37
38,M,N,800000,52.14
38,M,N,1000000,60.47
38,M,Y,100000,19.30
38,M,Y,150000,28.74
38,M,Y,200000,35.17
38,M,Y,250000,43.54
38,M,Y,300000,46.76
38,M,Y,350000,54.55
38,M,Y,400000,61.48
38,M,Y,500000,73.93
38,M,Y,600000,79.79
38,M,Y,700000,92.09
38,M,Y,800000,104.38
38,M,Y,1000000,127.55
38,F,N,100000,15.00
38,F,N,150000,15.00
38,F,N,200000,15.67
38,F,N,250000,18.08
38,F,N,300000,19.78
38,F,N,350000,22.58
38,F,N,400000,25.33
38,F,N,500000,27.75
38,F,N,600000,32.10
38,F,N,700000,36.45
38,F,N,800000,40.80
38,F,N,1000000,48.05
38,F,Y,100000,15.58
38,F,Y,150000,20.08
38,F,Y,200000,25.15
38,F,Y,250000,30.42
38,F,Y,300000,34.15
38,F,Y,350000,39.51
38,F,Y,400000,45.45
38,F,Y,500000,51.48
38,F,Y,600000,57.71
38,F,Y,700000,66.32
38,F,Y,800000,74.94
38,F,Y,1000000,90.26
39,M,N,100000,15.00
39,M,N,150000,16.25
39,M,N,200000,18.98
39,M,N,250000,23.08
39,M,N,300000,25.48
39,M,N,350000,29.92
39,M,N,400000,33.33
39,M,N,500000,36.75
39,M,N,600000,42.90
39,M,N,700000,49.05
39,M,N,800000,55.20
39,M,N,1000000,64.08
39,M,Y,100000,20.36
39,M,Y,150000,30.55
39,M,Y,200000,37.50
39,M,Y,250000,46.53
39,M,Y,300000,50.01
39,M,Y,350000,58.42
39,M,Y,400000,65.91
39,M,Y,500000,79.35
39,M,Y,600000,85.68
39,M,Y,700000,98.96
39,M,Y,800000,112.24
39,M,Y,1000000,137.25
39,F,N,100000,15.00
39,F,N,150000,15.00
39,F,N,200000,16.27
39,F,N,250000,18.83
39,F,N,300000,20.63
39,F,N,350000,23.61
39,F,N,400000,26.53
39,F,N,500000,29.10
39,F,N,600000,33.72
39,F,N,700000,38.34
39,F,N,800000,42.96
39,F,N,1000000,50.66
39,F,Y,100000,16.18
39,F,Y,150000,20.97
39,F,Y,200000,26.37
39,F,Y,250000,31.97
39,F,Y,300000,35.94
39,F,Y,350000,41.64
39,F,Y,400000,47.96
39,F,Y,500000,54.37
39,F,Y,600000,60.99
39,F,Y,700000,70.16
39,F,Y,800000,79.32
39,F,Y,1000000,95.61
40,M,N,100000,15.00
40,M,N,150000,17.18
40,M,N,200000,20.16
40,M,N,250000,24.63
40,M,N,300000,27.23
40,M,N,350000,32.08
40,M,N,400000,35.80
40,M,N,500000,39.53
40,M,N,600000,46.23
40,M,N,700000,52.94
40,M,N,800000,59.64
40,M,N,1000000,69.33
40,M,Y,100000,21.59
40,M,Y,150000,32.65
40,M,Y,200000,40.19
40,M,Y,250000,49.99
40,M,Y,300000,53.76
40,M,Y,350000,62.89
40,M,Y,400000,71.02
40,M,Y,500000,85.60
40,M,Y,600000,92.47
40,M,Y,700000,106.89
40,M,Y,800000,121.30
40,M,Y,1000000,148.45
40,F,N,100000,15.00
40,F,N,150000,15.00
40,F,N,200000,17.32
40,F,N,250000,20.15
40,F,N,300000,22.13
40,F,N,350000,25.41
40,F,N,400000,28.63
40,F,N,500000,31.46
40,F,N,600000,36.56
40,F,N,700000,41.65
40,F,N,800000,46.74
40,F,N,1000000,55.23
40,F,Y,100000,17.28
40,F,Y,150000,22.59
40,F,Y,200000,28.57
40,F,Y,250000,34.77
40,F,Y,300000,39.17
40,F,Y,350000,45.49
40,F,Y,400000,52.49
40,F,Y,500000,59.60
40,F,Y,600000,66.93
40,F,Y,700000,77.09
40,F,Y,800000,87.24
40,F,Y,1000000,105.29
41,M,N,100000,15.00
41,M,N,150000,18.09
41,M,N,200000,21.31
41,M,N,250000,26.15
41,M,N,300000,28.97
41,M,N,350000,34.20
41,M,N,400000,38.23
41,M,N,500000,42.26
41,M,N,600000,49.52
41,M,N,700000,56.77
41,M,N,800000,64.02
41,M,N,1000000,74.50
41,M,Y,100000,22.93
41,M,Y,150000,34.95
41,M,Y,200000,43.15
41,M,Y,250000,53.80
41,M,Y,300000,57.89
41,M,Y,350000,67.82
