zip,smoking_RR,diabetes_RR
1747,0.994565217,1.197674419
1748,0.815217391,0.76744186
1749,0.815217391,0.76744186
1752,0.815217391,0.76744186
1754,0.815217391,0.76744186
1756,0.994565217,1.197674419
1757,0.994565217,1.197674419
1760,0.815217391,0.76744186
1770,0.815217391,0.76744186
1772,0.994565217,1.197674419
1773,0.815217391,0.76744186
1775,0.815217391,0.76744186
1776,0.815217391,0.76744186
1778,0.815217391,0.76744186
1784,0.815217391,0.76744186
1801,0.815217391,0.76744186
1803,0.815217391,0.76744186
1805,0.815217391,0.76744186
1806,0.815217391,0.76744186
1807,0.815217391,0.76744186
1808,0.815217391,0.76744186
1810,0.766304348,0.976744186
1812,0.766304348,0.976744186
1813,0.815217391,0.76744186
1815,0.815217391,0.76744186
1821,0.815217391,0.76744186
1822,0.815217391,0.76744186
1824,0.815217391,0.76744186
1826,0.815217391,0.76744186
1827,0.815217391,0.76744186
1830,0.766304348,0.976744186
1831,0.766304348,0.976744186
1832,0.766304348,0.976744186
1833,0.766304348,0.976744186
1834,0.766304348,0.976744186
1835,0.766304348,0.976744186
1840,0.766304348,0.976744186
1841,0.766304348,0.976744186
1842,0.766304348,0.976744186
1843,0.766304348,0.976744186
1844,0.766304348,0.976744186
1845,0.766304348,0.976744186
1850,0.815217391,0.76744186
1851,0.815217391,0.76744186
1852,0.815217391,0.76744186
1853,0.815217391,0.76744186
1854,0.815217391,0.76744186
1860,0.766304348,0.976744186
1862,0.815217391,0.76744186
1863,0.815217391,0.76744186
1864,0.815217391,0.76744186
1865,0.815217391,0.76744186
1866,0.815217391,0.76744186
1867,0.815217391,0.76744186
1876,0.815217391,0.76744186
1879,0.815217391,0.76744186
1880,0.815217391,0.76744186
1885,0.766304348,0.976744186
1886,0.815217391,0.76744186
1887,0.815217391,0.76744186
1888,0.815217391,0.76744186
1889,0.815217391,0.76744186
1890,0.815217391,0.76744186
1899,0.766304348,0.976744186
1901,0.766304348,0.976744186
1902,0.766304348,0.976744186
1903,0.766304348,0.976744186
1904,0.766304348,0.976744186
1905,0.766304348,0.976744186
1906,0.766304348,0.976744186
1907,0.766304348,0.976744186
1908,0.766304348,0.976744186
